Video ID,Comment,processed
r8pJt4dK_s4,"Idk but why are inanimate objects all of a sudden becoming really popular in movies?? First it's Sausage party and now this?

I mean, sausage party was good but we need to leave it there. ","['idk', 'inanimate', 'object', 'sudden', 'popular', 'movie', 'sausage', 'party', 'mean', 'sausage', 'party', 'good', 'need', 'leave']"
r8pJt4dK_s4,Just checked and this film was panned with 0% on Rotten Tomatoes,"['check', 'film', 'pan', '0', 'rotten', 'tomatoes']"
r8pJt4dK_s4,"Fantastic Four ( 2015 ) deserves the Oscar, if compared to this movie.

WTF did I just watch?","['fantastic', '2015', 'deserve', 'oscar', 'compare', 'movie', 'wtf', 'watch']"
r8pJt4dK_s4,😂😂😂 don't do it,"['😂', '😂', '😂']"
r8pJt4dK_s4,*0 procent on Rotten Tomatoes* 💯💯💯💯💦💦💦💦💦🔥🔥🔥🔥🔥🔥🔥🔥🔥,"['0', 'procent', 'rotten', 'tomatoes', '💯', '💯', '💯', '💯', '💦', '💦', '💦', '💦', '💦', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']"
r8pJt4dK_s4,this will bomb.,
r8pJt4dK_s4,0% on RT.,
r8pJt4dK_s4,"2018: Roblox Movie
2019: Fidget Spinner Movie
2020: Minecraft Lets Play: The Movie
2021: Jake Paul & Team 10: The Movie
2022: Water Bottle Flip Movie
2023: Harlem Shake Movie
2024: Ice Bucket Challenge Movie
2025: Oppa Gangnam Style: The Movie
2026: Rage Comics: The Movie
2027: Planking Movie
2028: Ey Macarena Movie
2029: Walk Like an Egyptian Movie
2030: YMCA movie
2031: Mayan Calender Ends
2032: Harambe Movie
2033: Universe Explodes","['2018', 'roblox', 'movie', '2019', 'fidget', 'spinner', 'movie', '2020', 'minecraft', 'lets', 'play', 'movie', '2021', 'jake', 'paul', 'team', '10', 'movie', '2022', 'water', 'bottle', 'flip', 'movie', '2023', 'harlem', 'shake', 'movie', '2024', 'ice', 'bucket', 'challenge', 'movie', '2025', 'oppa', 'gangnam', 'style', 'movie', '2026', 'rage', 'comics', 'movie', '2027', 'planking', 'movie', '2028', 'ey', 'macarena', 'movie', '2029', 'walk', 'like', 'egyptian', 'movie', '2030', 'ymca', 'movie', '2031', 'mayan', 'calender', 'ends', '2032', 'harambe', 'movie', '2033', 'universe', 'explodes']"
r8pJt4dK_s4,Yay Rejoice this movie has a 0% on rotten tomatoes. These critics are my heroes.,"['yay', 'rejoice', 'movie', '0', 'rotten', 'tomato', 'critic', 'hero']"
r8pJt4dK_s4,Armond White the type of nigga to like this movie,"['armond', 'white', 'type', 'nigga', 'like', 'movie']"
r8pJt4dK_s4,🐘💨,
r8pJt4dK_s4,*0% on rotten tomatoes and an 8 on metacritic*,"['0', 'rotten', 'tomato', '8', 'metacritic']"
r8pJt4dK_s4,"And now it has 8 on metacritic and 0 on tomatoes... Great job, Guys!
💩
P.S Why you just don't ask your сolleagues from Playstation how to monitor the quality of a product?!","['8', 'metacritic', '0', 'tomato', '...', 'great', 'job', 'guys', '💩', 'p.s', 'ask', 'сolleague', 'playstation', 'monitor', 'quality', 'product']"
r8pJt4dK_s4,worst movie ever! remove the movie,"['bad', 'movie', 'remove', 'movie']"
r8pJt4dK_s4,"Oh Sony...
   First you fucked Spider-man over, now you've ran out of ideas...","['oh', 'sony', '...', 'fuck', 'spider', 'man', 'run', 'idea', '...']"
r8pJt4dK_s4,bruh it's jus wreck it ralph but with emoji's and less funny,"['bruh', 'jus', 'wreck', 'ralph', 'emoji', 'funny']"
r8pJt4dK_s4,"When you see eggplant emoji as one of the emojis that do not get used 
????","['eggplant', 'emoji', 'emojis', 'use']"
r8pJt4dK_s4,watch this make more then that valerian crap.,"['watch', 'valerian', 'crap']"
r8pJt4dK_s4,STOP HATING ON THIS MOVIE I THINK ITS GOOD,"['stop', 'hate', 'movie', 'think', 'good']"
r8pJt4dK_s4,1:25,
r8pJt4dK_s4,0% on Rotten Tomatoes... Why am I not surprised,"['0', 'rotten', 'tomatoes', '...', 'surprised']"
r8pJt4dK_s4,LMAOOOOO IT HAS A 0% ON ROTTEN TOMATOES,"['lmaooooo', '0', 'rotten', 'tomatoes']"
r8pJt4dK_s4,"Dumb characters? Check.
Cliche movie plot that we've seen 300 times? Check.
Will people still rate it a 6/10 like idiots? Check.","['dumb', 'character', 'check', 'cliche', 'movie', 'plot', '300', 'time', 'check', 'people', 'rate', '6/10', 'like', 'idiot', 'check']"
r8pJt4dK_s4,ITS RELEASED!,
r8pJt4dK_s4,"10 years later........
*The Disaster Animator comes out","['10', 'year', 'later', '........', 'disaster', 'animator', 'come']"
r8pJt4dK_s4,Figet spinner movie,"['figet', 'spinner', 'movie']"
r8pJt4dK_s4,everyone hating on this movie so they can fit with the crowd and seem cool.Watch the actual trailer moron then talk,"['hate', 'movie', 'fit', 'crowd', 'cool', 'watch', 'actual', 'trailer', 'moron', 'talk']"
r8pJt4dK_s4,This is cancer,['cancer']
r8pJt4dK_s4,"Fidget spinners: Ha im gonna officially be the most cancerous thing that 2017 has created!    
Emoji movie: Hold my fucking Beer","['fidget', 'spinner', 'ha', 'officially', 'cancerous', 'thing', '2017', 'create', 'emoji', 'movie', 'hold', 'fucking', 'beer']"
r8pJt4dK_s4,"Call the Razzies folks, because this Movie is SO GETTING A TON OF NOMINATIONS!!!!!!!!","['razzies', 'folk', 'movie', 'ton', 'nomination']"
r8pJt4dK_s4,2:05 my name is nick crompton and no im not from compton,"['2:05', 'nick', 'crompton', 'compton']"
