Video ID,Comment,processed
AST2-4db4ic,I love eliza scalen to fucking death,"['love', 'eliza', 'scalen', 'fucking', 'death']"
AST2-4db4ic,AMMMAAAAA,
AST2-4db4ic,Where can I watch it,['watch']
AST2-4db4ic,whose watching this on Christmas!!!!???,"['watch', 'christmas']"
AST2-4db4ic,And women think they have it tough these days,"['woman', 'think', 'tough', 'day']"
AST2-4db4ic,I can tell this is going to be one of my favourite films,"['tell', 'favourite', 'film']"
AST2-4db4ic,"Oh GREAT !
1800's CAPTAIN MARVEL....
With LEFTIST  STREEP .....
I'll pass thank you very much.","['oh', 'great', '1800', 'captain', 'marvel', '....', 'leftist', 'streep', '.....', 'pass', 'thank']"
AST2-4db4ic,"Next time Hollywood remakes the movie, they'll inject lesbians, a transgender, and add a black or yellow person in it as well. Why get creative, just take an oldie and change the character","['time', 'hollywood', 'remake', 'movie', 'inject', 'lesbian', 'transgender', 'add', 'black', 'yellow', 'person', 'creative', 'oldie', 'change', 'character']"
AST2-4db4ic,Will Jo and Laurie end up together in this version?,"['jo', 'laurie', 'end', 'version']"
AST2-4db4ic,Sophia Lilith has the face for Jo and I think she’s the right age too,"['sophia', 'lilith', 'face', 'jo', 'think', '’', 'right', 'age']"
AST2-4db4ic,"I looooove this story, even though my favourite movie is the first one from 1949 (classic...) I always watch everyone is made, so I will watch this one too!! It really looks great!!","['looooove', 'story', 'favourite', 'movie', '1949', 'classic', '...', 'watch', 'watch', 'look', 'great']"
AST2-4db4ic,"""I want to be great or nothing!! ""




Why do I hear these lines more clear than anything else!! 😬","['want', 'great', 'hear', 'line', 'clear', '😬']"
AST2-4db4ic,Looks Rubbish Winona Ryder best version,"['look', 'rubbish', 'winona', 'ryder', 'good', 'version']"
AST2-4db4ic,They should of got Moe Szylak to narrate,"['moe', 'szylak', 'narrate']"
AST2-4db4ic,"The next Feminazi film. No, thanks.","['feminazi', 'film', 'thank']"
AST2-4db4ic,This is what the Poe sisters were up to before Ganondorf took Hyrule.,"['poe', 'sister', 'ganondorf', 'hyrule']"
AST2-4db4ic,I haven’t been this excited for a movie in a long time,"['excite', 'movie', 'long', 'time']"
AST2-4db4ic,Is this specifically based on the book or a remake of the 1994 movie?,"['specifically', 'base', 'book', 'remake', '1994', 'movie']"
AST2-4db4ic,"Holy cow, this is the girl from the lovely bones. I love that movie and I’m proud of her 👏oh shizzles it’s been a while 😂","['holy', 'cow', 'girl', 'lovely', 'bone', 'love', 'movie', 'proud', '👏', 'oh', 'shizzle', '’', '😂']"
AST2-4db4ic,i love the fact that her last names march and march is women's history month,"['love', 'fact', 'march', 'march', 'woman', 'history', 'month']"
AST2-4db4ic,Meryl is perfect for the role of Aunt March.,"['meryl', 'perfect', 'role', 'aunt', 'march']"
AST2-4db4ic,"""I want to be great or nothing' 

Inspiring one❤️","['want', 'great', 'inspire', '❤', '️']"
AST2-4db4ic,Hey you. Yea you scrolling thru the comments. What are you waiting for. Read the book its amazing,"['hey', 'yea', 'scroll', 'comment', 'wait', 'read', 'book', 'amazing']"
