Video ID,Comment,processed
RSUq4VfWfjE,"Don’t worry, we’re not calling you angels. Nobody asked for this. Sony, just be happy you get Spider-Man. This is terrible!!","['worry', 'angel', 'ask', 'sony', 'happy', 'spider', 'man', 'terrible']"
RSUq4VfWfjE,"*I find this offensive*


*Where is the Male staring Cast*","['find', 'offensive', 'male', 'stare', 'cast']"
RSUq4VfWfjE,GIRLBOYS everywhere rejoice! 😆,"['girlboys', 'rejoice', '😆']"
RSUq4VfWfjE,Cringey,
RSUq4VfWfjE,totally spies,"['totally', 'spy']"
RSUq4VfWfjE,Lol - this movie looks shitty as hell,"['lol', 'movie', 'look', 'shitty', 'hell']"
RSUq4VfWfjE,"Whats this fucking B-team?!
The Original Charlies angels reboot had an absolutely stacked cast with : Drew Barrymore, Lucy Liu, Camron Diaz, Bill Murray, Sam Rockwell, Crispin Glover ,Matt LeBlanc
Tom Green, Owen Willson +++

And this movie has :Dyke from twilight, Black Chick and who's that?

Its like a The Asylum  productions rip off version of the original movie
Show less","['s', 'fucking', 'b', 'team', 'original', 'charlies', 'angel', 'reboot', 'absolutely', 'stack', 'cast', 'drew', 'barrymore', 'lucy', 'liu', 'camron', 'diaz', 'bill', 'murray', 'sam', 'rockwell', 'crispin', 'glover', 'matt', 'leblanc', 'tom', 'green', 'owen', 'willson', 'movie', 'dyke', 'twilight', 'black', 'chick', 'like', 'asylum', 'production', 'rip', 'version', 'original', 'movie']"
RSUq4VfWfjE,"Boring..
Unable to watch trailer either...","['boring', '..', 'unable', 'watch', 'trailer', '...']"
RSUq4VfWfjE,"Every since Kirsten Stewart came out and just started being herself, it looks like she started enjoying her acting more.","['kirsten', 'stewart', 'come', 'start', 'look', 'like', 'start', 'enjoy', 'act']"
RSUq4VfWfjE,So first they removed one white girl and now they have remove 2 white girls.,"['remove', 'white', 'girl', 'remove', '2', 'white', 'girl']"
RSUq4VfWfjE,Nope,
RSUq4VfWfjE,Can they go back and remake the characters just like they did with Sonic because this movie does not look Epic,"['remake', 'character', 'like', 'sonic', 'movie', 'look', 'epic']"
RSUq4VfWfjE,Is anyone else surprised they didn't cast men ?,"['surprised', 'cast', 'man']"
RSUq4VfWfjE,I think this will be boring 😂,"['think', 'bore', '😂']"
RSUq4VfWfjE,Charlie’s lesbians,
RSUq4VfWfjE,"Why is there no asian angel ?  Racists. 
No trans angel ?  Transphobes
No fat Angel ? Fat Shamers
No Hijab angel?  Islamophobes
Can the current generation of tweens please hurry and grow up. The millenials have no original creativity.
Hurry tweens , you're our only hope.","['asian', 'angel', 'racist', 'trans', 'angel', 'transphobe', 'fat', 'angel', 'fat', 'shamers', 'hijab', 'angel', 'islamophobes', 'current', 'generation', 'tween', 'hurry', 'grow', 'millenial', 'original', 'creativity', 'hurry', 'tween', 'hope']"
RSUq4VfWfjE,"Another woke Hollywood remake that is going to bomb as it will only appeal to a far smaller female action movie audience, their boyfriends, and beta males. You know who makes the best fist fighting private investigators? You guessed it, frail looking 5'5"" women weighing about 120 pounds. This is another typical feminist non-compelling fantasy wish fulfillment movie with shallow characters, non-existent character development, and stilted politicized dialogue. The exact opposite of appealing to the broadest possible audience. A great way for a studio to blow over $50 million.","['wake', 'hollywood', 'remake', 'bomb', 'appeal', 'far', 'small', 'female', 'action', 'movie', 'audience', 'boyfriend', 'beta', 'male', 'know', 'good', 'fist', 'fight', 'private', 'investigator', 'guess', 'frail', 'look', ""5'5"", 'woman', 'weigh', '120', 'pound', 'typical', 'feminist', 'non', 'compelling', 'fantasy', 'wish', 'fulfillment', 'movie', 'shallow', 'character', 'non', 'existent', 'character', 'development', 'stilte', 'politicized', 'dialogue', 'exact', 'opposite', 'appeal', 'broad', 'possible', 'audience', 'great', 'way', 'studio', 'blow', '50', 'million']"
RSUq4VfWfjE,All three are terrible 👎,"['terrible', '👎']"
RSUq4VfWfjE,Very niceee.  Recommended 👍👍😍,
RSUq4VfWfjE,"Is this Kingsman but women?

Cos I’m in","['kingsman', 'woman', 'cos']"
RSUq4VfWfjE,professor x left X-men for the angels,"['professor', 'x', 'left', 'x', 'man', 'angel']"
RSUq4VfWfjE,"Gawd !.
.
Boycott this woke piece of trash !.","['gawd', 'boycott', 'wake', 'piece', 'trash']"
RSUq4VfWfjE,"Parallel character traits:
Kristen= Drew Barrymore 
Ella= Lucy Liu
Naomi= Cameron Diaz",
RSUq4VfWfjE,"I think ,this is the best action movie i've ever watch,seriously this is my first time watching action movie in cinema,n it feels like omg they're so freakin'  adorableㅠㅠ","['think', 'good', 'action', 'movie', 'watch', 'seriously', 'time', 'watch', 'action', 'movie', 'cinema', 'n', 'feel', 'like', 'omg', 'freakin', 'adorableㅠㅠ']"
RSUq4VfWfjE,I'm sorry but this looks like an abomination. Why ruin a great franchise?,"['sorry', 'look', 'like', 'abomination', 'ruin', 'great', 'franchise']"
RSUq4VfWfjE,"I just watched it today and I would like to emphasize how beautiful everyone in this movie. Great work, Elizabeth Banks for directing. Also my inner fanboy for Kristen is growing all the more","['watch', 'today', 'like', 'emphasize', 'beautiful', 'movie', 'great', 'work', 'elizabeth', 'banks', 'direct', 'inner', 'fanboy', 'kristen', 'grow']"
RSUq4VfWfjE,Omaga I'm so excited,"['omaga', 'excited']"
RSUq4VfWfjE,Kristen Stewart is just a bad actress. The rest of the cast looked great.,"['kristen', 'stewart', 'bad', 'actress', 'rest', 'cast', 'look', 'great']"
RSUq4VfWfjE,This will tank.,
RSUq4VfWfjE,I think the music sucks but the movie looks alright.,"['think', 'music', 'suck', 'movie', 'look', 'alright']"
RSUq4VfWfjE,"When princess jasmine upgraded herself to protect Agrabah😆😆
.
.
Welldone princess👏","['princess', 'jasmine', 'upgrade', 'protect', 'agrabah', '😆', '😆', 'welldone', 'princess', '👏']"
RSUq4VfWfjE,Stuart acting like Cyrus. 🤣,"['stuart', 'act', 'like', 'cyrus', '🤣']"
RSUq4VfWfjE,Who are these? I only know Stuart because of overrated Twilight garbage. 🤣,"['know', 'stuart', 'overrate', 'twilight', 'garbage', '🤣']"
RSUq4VfWfjE,Wow kristen 🙂❤️,
RSUq4VfWfjE,"No no no no no match to original sexy trio....LL, DB n CD","['match', 'original', 'sexy', 'trio', '....', 'll', 'db', 'n', 'cd']"
RSUq4VfWfjE,Who els want thin man to be in this movie?,"['els', 'want', 'thin', 'man', 'movie']"
RSUq4VfWfjE,Wow,
RSUq4VfWfjE,mY FAVORITE GIRLS IN ONE FRAME YEEEEEEES,"['favorite', 'girl', 'frame', 'yeeeeeee']"
RSUq4VfWfjE,"OH MY GODNESS
 I CANT WAIT TO WATCH","['oh', 'godness', 'cant', 'wait', 'watch']"
RSUq4VfWfjE,i miss youuu stewarttttt,
RSUq4VfWfjE,0:04 AND YOU'RE WATCHING DISNEY CHANNEL,"['0:04', ""you're"", 'watching', 'disney', 'channel']"
RSUq4VfWfjE,So I guess Bella is living her vampire life to the fullest 😂,"['guess', 'bella', 'live', 'vampire', 'life', '😂']"
RSUq4VfWfjE,"what happened to goofy, unfit, almost gets in the way but miraculously save the day Bossly?","['happen', 'goofy', 'unfit', 'way', 'miraculously', 'save', 'day', 'bossly']"
RSUq4VfWfjE,"Spoiler free alert review summary:

I just saw it and it's not that bad, the dialogue was alright (and some cheesy 2019 social jokes every now and then). The story line overall reminded me of Madison Lee's storyline (once you watch it, you're gonna get what I mean). And some Easter egg references to the 2000 film a couple of times. 
It was like a mixture of Charlie's Angels 2000 with a bit of James Bond and Black Widow vibes. 

Kristen's acting has dramatically changed from the boring zombie to the action hero, while Elizabeth, Naomi and Ella did a well-exceptional job as the supporting characters. The costuming and props I say was the highlight! It was very satisfying and looked quite ""futuristic, experimental and bright"" to see. 

And the only thing that I wasn't into was the camera shots (too many closeups of the characters), I reckon it would have been better if establishing shots were used when characters were talking at the start so that the audience gets a ""feel"" of the atmosphere. And the dialogue and the storyline was quite generic and quite cringy (I felt like the story was going nowhere - some dialogues and jokes I couldn't understand - e.g. feminism and racial), it would have been better if a stronger character development or better writing and dialogue was used. And who knows? That might be in the next film (if they make it), and more adventures and character development/less cringy, better dialogue and writing.

But the one thing I did like (and I found interesting) however, was the plot twists and the mystery throughout the story! It gave it a nod to James Bond/Sherlock at times. I think Elizabeth Banks did a great job at that. 

Overall, I give this film a 7.5 out of 10. Maybe the next film would be heavenly sweet (and of course, surrounded by angels). 😇

I'd recommend this film, just to give it a watch and if it doesn't suit your taste then nope. 

P.s. this is my opinion, others are welcome to join and discuss. No hate. Peace and love!","['spoiler', 'free', 'alert', 'review', 'summary', 'bad', 'dialogue', 'alright', 'cheesy', '2019', 'social', 'joke', 'story', 'line', 'overall', 'remind', 'madison', 'lee', 'storyline', 'watch', 'mean', 'easter', 'egg', 'reference', '2000', 'film', 'couple', 'time', 'like', 'mixture', 'charlie', 'angels', '2000', 'bit', 'james', 'bond', 'black', 'widow', 'vibe', 'kristen', 'acting', 'dramatically', 'change', 'bore', 'zombie', 'action', 'hero', 'elizabeth', 'naomi', 'ella', 'exceptional', 'job', 'support', 'character', 'costuming', 'prop', 'highlight', 'satisfying', 'look', 'futuristic', 'experimental', 'bright', 'thing', 'camera', 'shot', 'closeup', 'character', 'reckon', 'establish', 'shot', 'use', 'character', 'talk', 'start', 'audience', 'feel', 'atmosphere', 'dialogue', 'storyline', 'generic', 'cringy', 'feel', 'like', 'story', 'dialogue', 'joke', 'understand', 'e.g.', 'feminism', 'racial', 'strong', 'character', 'development', 'writing', 'dialogue', 'use', 'know', 'film', 'adventure', 'character', 'development', 'cringy', 'dialogue', 'writing', 'thing', 'like', 'find', 'interesting', 'plot', 'twist', 'mystery', 'story', 'nod', 'james', 'bond', 'sherlock', 'time', 'think', 'elizabeth', 'banks', 'great', 'job', 'overall', 'film', '7.5', '10', 'maybe', 'film', 'heavenly', 'sweet', 'course', 'surround', 'angel', '😇', 'recommend', 'film', 'watch', 'suit', 'taste', 'nope', 'p.s', 'opinion', 'welcome', 'join', 'discuss', 'hate', 'peace', 'love']"
RSUq4VfWfjE,I see $3 Walmart DVD bin in the near future.,"['3', 'walmart', 'dvd', 'bin', 'near', 'future']"
RSUq4VfWfjE,"Of all the Kristen's movies, this one is her best acting and caracter for me.💕","['kristen', 'movie', 'good', 'acting', 'caracter', '💕']"
RSUq4VfWfjE,It blows my mind how there is so much money that goes into making these films yet they never seem to hire a person to show the actors how to properly hold a handgun,"['blow', 'mind', 'money', 'film', 'hire', 'person', 'actor', 'properly', 'hold', 'handgun']"
RSUq4VfWfjE,"1:52.  
*picks up explosive mints*
Proceeds to get them yeeted out of her hand and told they explode","['1:52', 'pick', 'explosive', 'mint', 'proceed', 'yeete', 'hand', 'tell', 'explode']"
RSUq4VfWfjE,"Charlie's Angels back then: Beautfiul sexy women that are fit and can fight.

Charlie's Angels 2019: Edgy teens with stick figures.","['charlie', 'angels', 'beautfiul', 'sexy', 'woman', 'fit', 'fight', 'charlie', 'angels', '2019', 'edgy', 'teen', 'stick', 'figure']"
RSUq4VfWfjE,"Not too excited about the movie, but I'm ready for Kristen's graduation from Bella","['excited', 'movie', 'ready', 'kristen', 'graduation', 'bella']"
RSUq4VfWfjE,THIS REBOOT FAILS  LIKE MIB INTERNATIONAL,"['reboot', 'fail', 'like', 'mib', 'international']"
RSUq4VfWfjE,"Boring, disappointed. Very very stupid and bad remake of 2000' Charlie's Angels.","['boring', 'disappointed', 'stupid', 'bad', 'remake', '2000', 'charlie', 'angels']"
RSUq4VfWfjE,Nothing Sexy about this.....At ALL!,"['sexy', '.....']"
RSUq4VfWfjE,"I loved charles Angel's,  is nothing sacred","['love', 'charles', 'angel', 'sacred']"
RSUq4VfWfjE,"I would have casted these three as the Angels:
Maisie Williams
Samara Weaving
Jessica Rothe

Instead of Miley Cyrus or Ariana Grande, (literally ANYONE ELSE) having a powerful rock song by In this Moment would have been rad.","['cast', 'angels', 'maisie', 'williams', 'samara', 'weaving', 'jessica', 'rothe', 'instead', 'miley', 'cyrus', 'ariana', 'grande', 'literally', 'powerful', 'rock', 'song', 'moment', 'rad']"
RSUq4VfWfjE,"Why change the iconic's of the original?! We need a red headed bad a**, a ditsy blonde and a genius girl with black hair!","['change', 'iconic', 'original', 'need', 'red', 'head', 'bad', 'ditsy', 'blonde', 'genius', 'girl', 'black', 'hair']"
RSUq4VfWfjE,Oh my my Kristen Stewart is👌👌😍😍😍😍😍😍,"['oh', 'kristen', 'stewart', '👌', '👌', '😍', '😍', '😍', '😍', '😍', '😍']"
RSUq4VfWfjE,Yeah but they're crap,"['yeah', 'crap']"
RSUq4VfWfjE,i honestly forgot this movie existed.,"['honestly', 'forget', 'movie', 'exist']"
RSUq4VfWfjE,"me: sees Elizabeth banks
me with my hunger games obsession: EFFIE TRINKET OH MY GAWD EFFIE LET THE GAMES BEGIN! MAY THE ODDS BE EVER IN YOUR FAVOR FIRST WITH THE LADYS","['elizabeth', 'bank', 'hunger', 'game', 'obsession', 'effie', 'trinket', 'oh', 'gawd', 'effie', 'let', 'games', 'begin', 'odds', 'favor', 'ladys']"
RSUq4VfWfjE,who is this movie for? lesbians that like james bond?,"['movie', 'lesbian', 'like', 'james', 'bond']"
RSUq4VfWfjE,Woke Feminist Trash -.- won't be supporting this and instead go see Ford V. Ferrari. Vote with Wallet!,"['woke', 'feminist', 'trash', '-.-', 'support', 'instead', 'ford', 'v.', 'ferrari', 'vote', 'wallet']"
RSUq4VfWfjE,Uuuuugggghhhhhhh,
RSUq4VfWfjE,Amazing,
RSUq4VfWfjE,"I just watched the movie and enjoyed it a lot. A great remake,beyond expectation.
I want a sequel ! :)","['watch', 'movie', 'enjoy', 'lot', 'great', 'remake', 'expectation', 'want', 'sequel', ':)']"
RSUq4VfWfjE,Anyone know. SOUNDTRACK at Scene on the CruiseShip....????? 🙏🙏🙏🙏🙏🙏🙏👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😉😉,"['know', 'soundtrack', 'scene', 'cruiseship', '....', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '🙏', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '👍', '😉', '😉']"
RSUq4VfWfjE,If its  her looks nothin like ariana grade frape,"['look', 'like', 'ariana', 'grade', 'frape']"
RSUq4VfWfjE,Camila cobalo?,
RSUq4VfWfjE,Was carlos there from decendece and WHERES ARIANA GRANDE,"['carlo', 'decendece', 'wheres', 'ariana', 'grande']"
RSUq4VfWfjE,FCK why Bella in Twilight was in the Charles Angels she's ah lesbian she is not fit to be a Charles Angels shitt~~,"['fck', 'bella', 'twilight', 'charles', 'angels', 'ah', 'lesbian', 'fit', 'charles', 'angels', 'shitt~~']"
RSUq4VfWfjE,Trash,
RSUq4VfWfjE,"WHEN YOU REALIZE THAT CHARLIES ANGELS WAS INSPIRED BUT CHARLES MANSON AND HIS 3 ANGELS (THE MANSON GIRLS)... IN REAL LIFE CHARLES M. MADE HIS 3 ANGELS DO ALL THE DIRTY WORK FOR HIM AND KILL TOO PROTECT THEYRE WAY OF LIFE WHILE IN THE MOVIE CHARLIES ANGELS CHARLIE MAKES HIS 3 ANGELS DO ALL THE WORK AND KILL TOO PROTECT THE WORLD FROM THE WAYS OF LIFE, BOTH CHARLES AND CHARLIE BOTH ARE MYSTERIOUS CHARACTERS THAT WERE HARDLY IF NOT NEVER SEEN PUBLICLY UNLESS BEHIND CLOSED DOORS....","['realize', 'charlies', 'angels', 'inspire', 'charles', 'manson', '3', 'angels', 'manson', 'girl', '...', 'real', 'life', 'charles', 'm.', '3', 'angels', 'dirty', 'work', 'kill', 'protect', 'theyre', 'way', 'life', 'movie', 'charlies', 'angels', 'charlie', 'makes', '3', 'angels', 'work', 'kill', 'protect', 'world', 'ways', 'life', 'charles', 'charlie', 'mysterious', 'character', 'hardly', 'publicly', 'closed', 'door', '....']"
RSUq4VfWfjE,"No thank you, I'll just wait for Wonder Woman 84.","['thank', 'wait', 'wonder', 'woman', '84']"
RSUq4VfWfjE,Oh dear. Another pile of crap,"['oh', 'dear', 'pile', 'crap']"
RSUq4VfWfjE,I've never heard of this until now.... when the film was already released.,"['hear', '....', 'film', 'release']"
RSUq4VfWfjE,Booooooo women aren’t funny,"['booooooo', 'woman', 'funny']"
RSUq4VfWfjE,Trash,
RSUq4VfWfjE,"why am I so displeased by this??? nobody’s gonna be better than the 2000 epic trio of Lucy, drew, and Cameron. U can’t change my mind","['displeased', '’', '2000', 'epic', 'trio', 'lucy', 'draw', 'cameron', 'u', 'change', 'mind']"
RSUq4VfWfjE,"Biggest prob with this trailer... @1:56 ""some of these blow up"" *slaps them out of her hand","['big', 'prob', 'trailer', '...', '@1:56', 'blow', 'slap', 'hand']"
RSUq4VfWfjE,"Look, I’m not an SJW by any means, but why is everyone hating on this movie? I’ve seen comments like “they’ll blame the patriarchy if it fails” and “this is propaganda”. So just because a movie has diversity in it makes it propaganda, or? I’m so confused","['look', 'sjw', 'mean', 'hate', 'movie', 'comment', 'like', 'blame', 'patriarchy', 'fail', 'propaganda', 'movie', 'diversity', 'propaganda', 'confused']"
RSUq4VfWfjE,I'll pass! Enough is enough!,['pass']
RSUq4VfWfjE,Kristen is even prettier as a blonde than she was as a brunette.  And what a body!!!!!,"['kristen', 'pretty', 'blonde', 'brunette', 'body']"
RSUq4VfWfjE,Looks raunchy!,
